States/UTs,Number of Accidents,Persons Killed,People Injured,Traffic Voilation type,Year
Jammu & Kashmir,0,0,0,Use of Mobile Phones,2019
Jharkhand,128,80,107,Use of Mobile Phones,2019
Karnataka,31,2,50,Use of Mobile Phones,2019
Kerala,27,0,28,Use of Mobile Phones,2019
Madhya Pradesh,896,181,972,Use of Mobile Phones,2019
Maharashtra,100,13,100,Use of Mobile Phones,2019
Manipur,37,2,66,Use of Mobile Phones,2019
Meghalaya,19,10,8,Use of Mobile Phones,2019
Mizoram,0,0,0,Use of Mobile Phones,2019
Nagaland,13,0,7,Use of Mobile Phones,2019
Orissa,492,205,561,Use of Mobile Phones,2019
Punjab,1296,881,194,Use of Mobile Phones,2019
Rajasthan,158,63,217,Use of Mobile Phones,2019
Sikkim,0,0,0,Use of Mobile Phones,2019
Tamil Nadu,1047,165,1233,Use of Mobile Phones,2019
Telangana,7,1,6,Use of Mobile Phones,2019
Tripura,0,0,0,Use of Mobile Phones,2019
Uttarakhand,51,50,98,Use of Mobile Phones,2019
Uttar Pradesh,4882,2699,3305,Use of Mobile Phones,2019
West Bengal,14,4,13,Use of Mobile Phones,2019
A & N Islands,0,0,0,Use of Mobile Phones,2019
Chandigarh,0,0,0,Use of Mobile Phones,2019
D & N Haveli,0,0,0,Use of Mobile Phones,2019
Daman & Diu,2,0,3,Use of Mobile Phones,2019
